cycle,range_bin,doppler_bin,output_hex
1098505000,11,3,00000175
1098515000,11,4,fea8feef
1098525000,11,5,01fa0242
1098535000,11,6,0038ff0c
1098545000,11,7,fee3ff18
1098555000,11,8,009e0080
1098565000,11,9,fee70065
1098575000,11,10,01c1ff2a
1098585000,11,11,fd7e0078
1098595000,11,12,01d9ff9c
1098605000,11,13,00d2ff90
1098615000,11,14,fd5e01ae
1098625000,11,15,037afe31
1098635000,11,16,fd440153
1098645000,11,17,011a0053
1098655000,11,18,fe00ff0a
1098665000,11,19,03400009
1098675000,11,20,fea0ffc3
1098685000,11,21,fefa0034
1098695000,11,22,0120016e
1098705000,11,23,ff61fde4
1098715000,11,24,00b2014e
1098725000,11,25,ffa9ff9d
1098735000,11,26,00dbff50
1098745000,11,27,fea600aa
1098755000,11,28,011bffda
1098765000,11,29,ff5600c2
1098775000,11,30,0186ffa4
1098785000,11,31,fcd6ff93
1103865000,12,0,0178004b
1103875000,12,1,ff95ffc0
1103885000,12,2,00b1ffd4
1103895000,12,3,ff920152
1103905000,12,4,fe90006b
1103915000,12,5,04b7fe4f
1103925000,12,6,fc2b016d
1103935000,12,7,00d7fed9
1103945000,12,8,ff7e0071
1103955000,12,9,00120051
1103965000,12,10,0092fe5b
1103975000,12,11,ffa8041f
1103985000,12,12,0075fbaf
1103995000,12,13,00750112
1104005000,12,14,fea10110
1104015000,12,15,0192fdd8
1104025000,12,16,ff00022b
1104035000,12,17,00b10052
1104045000,12,18,fe05fdec
1104055000,12,19,0208016e
1104065000,12,20,0014ff7b
1104075000,12,21,fe5fff33
1104085000,12,22,00ff01cb
1104095000,12,23,fed5ff49
1104105000,12,24,0242fff9
1104115000,12,25,fe20ff45
1104125000,12,26,015800b1
1104135000,12,27,feea00cd
1104145000,12,28,0187fe33
1104155000,12,29,feed0104
1104165000,12,30,00ed0094
1104175000,12,31,fd76feca
1109255000,13,0,000b016f
1109265000,13,1,01b9fe6e
1109275000,13,2,fe09014e
1109285000,13,3,00e10103
1109295000,13,4,feefff82
1109305000,13,5,01e8ff55
1109315000,13,6,0049019d
1109325000,13,7,fd64fd31
1109335000,13,8,0215023f
1109345000,13,9,ff42fdfa
1109355000,13,10,00780187
1109365000,13,11,006effcb
1109375000,13,12,fe04ffca
1109385000,13,13,020cff43
1109395000,13,14,fe32010b
1109405000,13,15,017dfec2
1109415000,13,16,004b014d
1109425000,13,17,ff39ff1c
1109435000,13,18,ff390156
1109445000,13,19,00adff0b
1109455000,13,20,ff77fee4
1109465000,13,21,00080249
1109475000,13,22,0099fde9
1109485000,13,23,fed00177
1109495000,13,24,0229fec1
1109505000,13,25,ff50034c
1109515000,13,26,ff76fbad
1109525000,13,27,ff840257
1109535000,13,28,00c200a4
1109545000,13,29,0038fec7
1109555000,13,30,004c00e7
1109565000,13,31,fec7fe0e
1114645000,14,0,fe8b003f
1114655000,14,1,026cff41
1114665000,14,2,fe36015f
1114675000,14,3,01100024
1114685000,14,4,fef1ff89
1114695000,14,5,02700044
1114705000,14,6,fe44ffde
1114715000,14,7,ff4c00d6
1114725000,14,8,01cffdfd
1114735000,14,9,ff2d000a
1114745000,14,10,ff4c0119
1114755000,14,11,00960166
1114765000,14,12,010dfe0e
1114775000,14,13,fe65ffac
1114785000,14,14,005c003f
1114795000,14,15,0233ffc0
1114805000,14,16,fcd70049
1114815000,14,17,028200bd
1114825000,14,18,fe94003d
1114835000,14,19,feb2fe62
1114845000,14,20,02d100eb
1114855000,14,21,fcccffb8
1114865000,14,22,02200046
1114875000,14,23,ff00fea8
1114885000,14,24,00ef0183
1114895000,14,25,ff81006c
1114905000,14,26,008e001f
1114915000,14,27,ffa8ff80
1114925000,14,28,0129ffae
1114935000,14,29,fd8bff9c
1114945000,14,30,017400e1
1114955000,14,31,ffc9ff4e
1120035000,15,0,0179feb7
1120045000,15,1,ffb900c8
1120055000,15,2,003aff52
1120065000,15,3,005200e2
1120075000,15,4,fe24ff66
1120085000,15,5,020d0091
1120095000,15,6,fe0800eb
1120105000,15,7,0156ff42
1120115000,15,8,ff66fff7
1120125000,15,9,007a0005
1120135000,15,10,ff67fe42
1120145000,15,11,00d50277
1120155000,15,12,fff6ffad
1120165000,15,13,ff17fe98
1120175000,15,14,00b8ffdb
1120185000,15,15,ffa5020f
1120195000,15,16,00d9fe83
1120205000,15,17,fe97ff4a
1120215000,15,18,000c0268
1120225000,15,19,0148fe74
1120235000,15,20,feb40188
1120245000,15,21,0099fdf1
1120255000,15,22,ff5c0151
1120265000,15,23,00d4ff5c
1120275000,15,24,00c8fff3
1120285000,15,25,fe9a0119
1120295000,15,26,0287fec4
1120305000,15,27,fcf9ffa7
1120315000,15,28,018a0231
1120325000,15,29,ff77fcde
1120335000,15,30,00880359
1120345000,15,31,fe81fe97
1125425000,16,0,019900ad
1125435000,16,1,fff70072
1125445000,16,2,ffecff92
1125455000,16,3,001affc5
1125465000,16,4,fde50029
1125475000,16,5,03e3010f
1125485000,16,6,fca1ff28
1125495000,16,7,01240095
1125505000,16,8,006efeec
1125515000,16,9,ffa70065
1125525000,16,10,0055ff1a
1125535000,16,11,ffba044b
1125545000,16,12,009ffb2c
1125555000,16,13,feef00d6
1125565000,16,14,004c00e2
1125575000,16,15,01d0ff1b
1125585000,16,16,fda3006b
1125595000,16,17,026900b0
1125605000,16,18,fd4aff2e
1125615000,16,19,003200eb
1125625000,16,20,0157fef9
1125635000,16,21,fecfff87
1125645000,16,22,011101be
1125655000,16,23,fd6cfdc9
1125665000,16,24,052e02a4
1125675000,16,25,fc01ff2d
1125685000,16,26,0125ff5e
1125695000,16,27,00aaffbd
1125705000,16,28,ff6d0062
1125715000,16,29,fecfff10
1125725000,16,30,00e20278
1125735000,16,31,fec8fdcf
1130815000,17,0,016900ab
1130825000,17,1,0176ffad
1130835000,17,2,fd7dfee7
1130845000,17,3,01c701c3
1130855000,17,4,fe97003b
1130865000,17,5,015e0019
1130875000,17,6,fe0cfe29
1130885000,17,7,02ca00c7
1130895000,17,8,fd71ff94
1130905000,17,9,01870097
1130915000,17,10,0039ff8d
1130925000,17,11,fefa015f
1130935000,17,12,00d9ff4c
1130945000,17,13,febfff82
1130955000,17,14,016b004f
1130965000,17,15,ff47ff75
1130975000,17,16,ff1d00e7
1130985000,17,17,01f4feb9
1130995000,17,18,fee70209
